Team,Scrambler
49ers,-0.0010170529715676766
Bears,48.93879790100218
Bengals,5.716611549224115
Bills,27.660870998302784
Broncos,1.87393017700688
Browns,4.745584724348929
Buccaneers,-0.11171450737005428
Cardinals,5.143465059697638
Chargers,-1.4959413050265378
Chiefs,5.22949974213512
Colts,-0.5847509431274661
Commanders,0.27818942160723326
Cowboys,1.6342100958138386
Dolphins,-0.0822864819090671
Eagles,18.458338619410785
Falcons,2.671443604194906
Giants,13.171094566656494
Jaguars,-1.4975247524752475
Jets,0.05868622316585787
Lions,0
Packers,0.22140221402214022
Panthers,0.6192461984277028
Patriots,-0.0031872509960159364
Raiders,0.2013011152416357
Rams,0.3027981869251613
Ravens,10.959763164270717
Saints,-0.298287028112121
Seahawks,0
Steelers,0.7051905869268491
Texans,-0.7804322614654717
Titans,0.6405653253519819
Vikings,-0.07698798900339601
